NESTLE R&D CENTRE(אסם)**דגם ישן,+
"אולביה גורמה - 1996 בע""מ-תנובה**",+
"אופגל תעשיות אופטרוניות בע""מ",+
"אוריון מערכות מתקדמות בע""מ",+
אטבליסמנט נ.ה.ל.-מלון גרנד ביץ**,+
"איי.אס.אס בע""מ(נורקיט בית דגן*)",+
"אלביט מער' ל""א וסיגינט-אלישרא בע",+
"אלביט מערכות בע""מ-יצור+מכניקה",+
"אלביט מערכות-חטיבת מערכי מל""ט-יש",+
אסותא מרכזים רפואים-צוות-א.קולב,+
אסותא מרכזים רפואים-רמת החייל,+
"אסם השקעות בע""מ-חולון-דגם חדש**",+
"אסם השקעות בע""מ-יוקנעם-דגם חדש**",+
"אסם השקעות בע""מ-שדרות **דגם ישן",+
"אסם השקעות בע""מ-שדרות**",+
"ארדע פלסט בע""מ",+
"גלידת שטראוס בע""מ -עכו*יוניליוור",+
"גני מבטחים בע""מ -ים המלח**ישן",+
"גנרל מקרוויב ישראל בע""מ",+
דוד אינטרקונטיננטל-קלאסיק הוטל**,+
"דימר בע""מ- ד.ישן",+
דן אכדיה-רשת דן **,+
המלך דוד-רשת דן **,+
"הרודס מלונות ספא ונופש בע""מ **",+
הריבוע הכחול-היפר היפר,?
"הרצליה מדיקל סנטר בע""מ-ישן",+
ווייבלנגת' אנטרפרייז בעמ,+
זוגלובק 2000 שלומי **,+
"טבע ירושלים בע""מ ** טבליות",+
טבע-אביק/נתניה-מנהלת האתר **,+
"טידיקיי- למבדא בע""מ",+
יוניליוור ישראל בעמ בלובנד*- ישן,+
כנפי תחזוקה שותפות מוגבלת,+
"כרמית תעשיות ממתקים בע""מ **",+
"לוכסמבורג תעשיות בע""מ **",+
"לוריאל ישראל בע""מ- ד.ישן",+
"מגן דוד אדום - החלפת דגם -עו""ד",+
מוטורולה מעבדת דגמים,+
"מוסך אדיר 1992 בע""מ(עו""ד)",+
"מחלבת משק צוריאל בע""מ-מחולה **",+
מילודע שירותי תעשיות ביולוגיות**,+
"מילוז (1989) בע""מ **",+
"מילועוף אינטגרצית פטם אגש""ח **",+
מכבי בתי מרקחת-אילת54 חולון-ישן,+
מכבי ש' בריאות-אשדוד ג'-ד.ישן,+
מכבי ש' בריאות-גבעת זאב-ד.ישן,+
מכבי ש' בריאות-יוקנעם -ד.ישן,+
מכבי ש' בריאות-כפר יסיף,+
מכבי ש' בריאות-כרמל- -ד.ישן,+
מכבי ש' בריאות-נהריה -ד.ישן,+
מכבי ש' בריאות-רחובות מזרח-ד.ישן,+
מכבי ש' בריאות-רמת גן,+
מכבי שירותי בריאות - דימונה-ישן,+
מכבי שירותי בריאות- חולון-ד.ישן,+
מכבי שירותי בריאות-אשדוד ד'-ישן,+
מכבי שירותי בריאות-גילה-ד.ישן,+
"מכבידנט בע""מ-מ.שיניים-ב""ב רבי עק",
"מכבידנט בע""מ-מ.שיניים-חולון לנדא",
"מכבידנט בע""מ-מ.שיניים-חולון לנדא",
"מכבידנט בע""מ-מ.שיניים-כפר סבא",
"מכבידנט בע""מ-מ.שיניים-ראש העין",
"מכבידנט בע""מ-מ.שיניים-רחובות",
"מכבידנט בע""מ-מ.שיניים-רמת גן",
מלון גרנד קורט - ירושלים **,
"מלון דן פנורמה ת""א-רשת דן **",
מלון הולדי אין / ים המלח ** ישן,
מלון הולידיי אין/אשקלון גלים,
"מלון מוריה ת""א בע""מ**",
מלון ענבל ירושלים **,
מקורות יחידת שפדן,
"נ.א.ס.ס. בע""מ",
"נקסטר כמפארמה סולושנס בע""מ",
"סאיקלון מוצרי תעופה בע""מ",
"סולקון תעשיות בע""מ",
"עוף הגליל בע""מ **",
עלית שטראוס-חבילות שי נצרת**,
פז בית זיקוק לנפט-אשדוד-מתקןחיפה,
"פז בית זיקוק-אשדוד בע""מ",
"פישר תעשיות פרמצבטיות בע""מ**",
"פריגו ישראל פרמצבטיקה בע""מ **",
קואופ ישראל-רשת סופרמרקט בעמ-ישן,
"קוסמופארם בע""מ",
"קופ""ח לאומית - מחוז צפון",
"קופ""ח לאומית - מרחב אונו",
"קופ""ח לאומית - מרחב אשדוד",
"קופ""ח לאומית - מרחב נתניה",
"קופ""ח לאומית - מרחב תל אביב",
"קופ""ח לאומית חולון מרחב דן",
"קופ""ח מאוחדת מרכז א.יהודה-ד.ישן",
"קופ""ח מאוחדת-אזור המרכז-ד.ישן",
"קופ""ח מאוחדת-מ.אזורי צפון-ד.ישן",
"קופ""ח מאוחדת-מחוז ירושלים-ד.ישן",
"קופ""ח מאוחדת-מרכז א.דרום-ד.ישן",
"קופ""ח מאוחדת-מרכז א.שומרון-ד.ישן",
קוקה קולה / יצור** ישן,
קרלסברג-מבשלות בירה ישראל בעמ*יש,
רכבת ישראל **דגם ישן,
רכבת ישראל/חט' נוסעים-פקחים **,
רכבת ישראל/חט'נוסעים-מנהל תחנות*,
רכבת ישראל/חטיבת נוסעים**-ד.ישן,
"ש.ל.ה. שירותי רפואה בע""מ",
שטראוס-עלית/מאפה בית שמש **,
שטראוס-עלית/קפה נמס צפת **,
"שמן תעשיות בע""מ",
"תמי מכון למחקר ופיתוח בע""מ",
תנובה אלון תבור ** -ד.ישן,
תנובה גליל/שותפות מוגבלת **,
תנובה מרכז מופ רחובות **,
תנובה תשלובת חלב טנא נגה **,
תנובה תשלובת חלב תל יוסף **,
"תע""א לישראל בע""מ-מבת יהוד-טכנול'",
"תע""א לישראל בע""מ-מטה-מרפאה-ש.מ",
"תע""א לישראל- אלתא מערכות בע""מ",
