שם לקוח,מילה לאיתור,אחוז נכונות התאמה
חברת חשמל לישראל בע”מ,חברת החשמל,1
NESTLE R&D CENTRE(אסם)**דגם ישן,נסטלה,1
NESTLE R&D CENTRE(אסם)**דגם ישן,R&D,1
NESTLE R&D CENTRE(אסם)**דגם ישן,nestle,1
NESTLE R&D CENTRE(אסם)**דגם ישן,אוסם,0.6
NESTLE R&D CENTRE(אסם)**דגם ישן,אסם,0.7
"אולביה גורמה - 1996 בע""מ-תנובה**",תנובה,0.7
"אולביה גורמה - 1996 בע""מ-תנובה**",אוליביה,0.5
"אולביה גורמה - 1996 בע""מ-תנובה**",אולוביה גורמה,1
"אולביה גורמה - 1996 בע""מ-תנובה**",גורמה,0.6
"אופגל תעשיות אופטרוניות בע""מ",אופגל,1
"אופגל תעשיות אופטרוניות בע""מ",אופגל תעשיות,1
"אופגל תעשיות אופטרוניות בע""מ",אופדל,0.7
"אוריון מערכות מתקדמות בע""מ",אוריון,0.8
"אוריון מערכות מתקדמות בע""מ",אוריון מערכות,1
"אוריון מערכות מתקדמות בע""מ",מע’ אוריון,0.8
"אוריון מערכות מתקדמות בע""מ",oraion,0.7
אטבליסמנט נ.ה.ל.-מלון גרנד ביץ**,גרנד ביץ,1
אטבליסמנט נ.ה.ל.-מלון גרנד ביץ**,גראנד,0.4
אטבליסמנט נ.ה.ל.-מלון גרנד ביץ**,דרנג ביץ,0.8
אטבליסמנט נ.ה.ל.-מלון גרנד ביץ**,מלון,0.3
"איי.אס.אס בע""מ(נורקיט בית דגן*)",בית דגן,0.6
"איי.אס.אס בע""מ(נורקיט בית דגן*)",a.s.s,1
"איי.אס.אס בע""מ(נורקיט בית דגן*)",ass,1
"איי.אס.אס בע""מ(נורקיט בית דגן*)",נורקיט,0.9
"איי.אס.אס בע""מ(נורקיט בית דגן*)",aas,7.5
"אלביט מער' ל""א וסיגינט-אלישרא בע",אלביט,0.9
"אלביט מער' ל""א וסיגינט-אלישרא בע",סיגינט,0.6
"אלביט מער' ל""א וסיגינט-אלישרא בע",אלביט מערכות,1
"אלביט מער' ל""א וסיגינט-אלישרא בע",אלביא,0.8
"אלביט מער' ל""א וסיגינט-אלישרא בע",אלביט מע’,0.9
"אלביט מערכות בע""מ-יצור+מכניקה",אלביט,0.9
"אלביט מערכות בע""מ-יצור+מכניקה",יצור,0.6
"אלביט מערכות בע""מ-יצור+מכניקה",אלביט מערכות,1
"אלביט מערכות בע""מ-יצור+מכניקה",אלביא,0.8
"אלביט מערכות בע""מ-יצור+מכניקה",אלביט מע’,0.9
"אלביט מערכות בע""מ-יצור+מכניקה",ייצור,\
"אלביט מערכות בע""מ-יצור+מכניקה",ייצור+מכניקה,0.8
"אלביט מערכות בע""מ-יצור+מכניקה",מכניקה,0.6
"אלביט מערכות בע""מ-יצור+מכניקה",יצור+מכניקה,0.8
"אלביט מערכות-חטיבת מערכי מל""ט-יש",אלביט,0.9
"אלביט מערכות-חטיבת מערכי מל""ט-יש",מלט,0.8
"אלביט מערכות-חטיבת מערכי מל""ט-יש",אלביט מערכות,1
"אלביט מערכות-חטיבת מערכי מל""ט-יש",אלביא,0.8
"אלביט מערכות-חטיבת מערכי מל""ט-יש",אלביט מע’,0.9
"אלביט מערכות-חטיבת מערכי מל""ט-יש",מל”ט,0.8
אסותא מרכזים רפואים-צוות-א.קולב,אסותא,0.9
אסותא מרכזים רפואים-צוות-א.קולב,אסותה,0.8
אסותא מרכזים רפואים-צוות-א.קולב,מרכזים רפואים,0.6
אסותא מרכזים רפואים-צוות-א.קולב,בית חולים,0.5
אסותא מרכזים רפואים-צוות-א.קולב,בי”ח,0.5
אסותא מרכזים רפואים-צוות-א.קולב,א. קולב,0.7
אסותא מרכזים רפואים-רמת החייל,אסותא,0.9
אסותא מרכזים רפואים-רמת החייל,אסותה,0.8
